smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
0.4502516453735966,0.04763140817650876,0.27314814814814814,0.02722222222222222,0.0,0.0,0.0,0.6551724137931034,b
0.02013162988772745,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,b
0.16473093302361594,0.041574735020549425,0.1412037037037037,0.013888888888888888,0.0,0.0,0.0,0.3275862068965517,b
0.16473093302361594,0.041574735020549425,0.1412037037037037,0.013888888888888888,0.0,0.0,0.0,0.3275862068965517,b
0.4452187379016647,0.05031364914557646,0.07407407407407407,0.013888888888888888,0.0,0.0,0.0,0.6206896551724138,b
0.4452187379016647,0.04226692623837335,0.25925925925925924,0.010555555555555556,0.0,0.0,0.0,0.6206896551724138,b
0.02013162988772745,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,a
0.4874177313201703,0.03409041747782825,0.2662037037037037,0.0125,0.0,0.0,0.0,0.6379310344827587,a
0.32849399922570655,0.031408176508760544,0.23148148148148148,0.009444444444444445,0.0,0.0,0.0,0.6091954022988506,a
0.4874177313201703,0.029158555050832792,0.2662037037037037,0.0125,0.0,0.0,0.0,0.6379310344827587,a
0.4874177313201703,0.03742158771360588,0.2662037037037037,0.012222222222222223,0.0,0.0,0.0,0.6379310344827587,a
0.31765389082462253,0.02470257408609128,0.25,0.0125,0.0,0.0,0.0,0.5977011494252874,a
0.16473093302361594,0.028596149686350856,0.1412037037037037,0.013888888888888888,0.0,0.0,0.0,0.3275862068965517,a
0.02013162988772745,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,a
0.0,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,a
0.02013162988772745,0.04464633354964309,0.08333333333333333,0.0,0.0,0.0,0.0,0.1839080459770115,a
0.0,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,a
0.4024390243902439,0.036945706251351934,0.2777777777777778,0.0,0.0,0.0,0.0,0.6666666666666666,a
0.02419667053813396,0.04464633354964309,0.05555555555555555,0.0,0.0,0.0,0.0,0.11494252873563218,a
0.02419667053813396,0.04464633354964309,0.25462962962962965,0.0,0.0,0.0,0.0,0.20689655172413793,b
0.0,0.04464633354964309,0.2175925925925926,0.0,0.0,0.0,0.0,0.1724137931034483,b
0.02419667053813396,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,b
0.02013162988772745,0.04464633354964309,0.06018518518518518,0.0,0.0,0.0,0.0,0.06896551724137931,b
0.02013162988772745,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,b
0.4874177313201703,0.03309539260220636,0.24305555555555555,0.013888888888888888,0.0,0.0,0.0,0.6264367816091954,b
0.4874177313201703,0.039195327709279686,0.2523148148148148,0.013888888888888888,0.0,0.0,0.0,0.603448275862069,b
0.4502516453735966,0.05425048669695003,0.27314814814814814,0.013888888888888888,0.0,0.0,0.0,0.6551724137931034,b
0.4502516453735966,0.03621025308241402,0.27314814814814814,0.0175,0.0,0.0,0.0,0.6551724137931034,b
0.16860240030971735,0.04317542721176725,0.27314814814814814,0.013888888888888888,0.0,0.0,0.0,0.3160919540229885,b
0.16860240030971735,0.028206792126324896,0.27314814814814814,0.013888888888888888,0.0,0.0,0.0,0.3390804597701149,b
0.4452187379016647,0.04953493402552455,0.25925925925925924,0.013888888888888888,0.0,0.0,0.0,0.6206896551724138,b
0.4452187379016647,0.048929266709928615,0.25925925925925924,0.010555555555555556,0.0,0.0,0.0,0.6206896551724138,b
0.31765389082462253,0.02608695652173913,0.25,0.015555555555555555,0.0,0.0,0.0,0.5977011494252874,b
0.02419667053813396,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,b
0.32849399922570655,0.040536448193813544,0.25462962962962965,0.0125,0.0,0.0,0.0,0.6091954022988506,a
0.02419667053813396,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,a
0.4024390243902439,0.023231667748215445,0.5324074074074074,0.0,0.0,0.0,0.0,0.6666666666666666,a
0.4874177313201703,0.046073977936404935,0.2662037037037037,0.011111111111111112,0.0,0.0,0.0,0.6379310344827587,a
0.0,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,a
0.02013162988772745,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,a
0.02419667053813396,0.04464633354964309,0.06018518518518518,0.0,0.0,0.0,0.0,0.06896551724137931,b
0.02013162988772745,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,b
0.02013162988772745,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,b
0.16860240030971735,0.02301535799264547,0.2690972222222222,0.013888888888888888,0.0,0.0,0.0,0.3333333333333333,b
0.02013162988772745,0.04464633354964309,0.25462962962962965,0.0,0.0,0.0,0.0,0.20689655172413793,b
0.4502516453735966,0.05498593986588795,0.27314814814814814,0.016666666666666666,0.0,0.0,0.0,0.6551724137931034,b
0.4452187379016647,0.052779580359074194,0.2708333333333333,0.016666666666666666,0.0,0.0,0.0,0.6264367816091954,b
0.4452187379016647,0.04464633354964309,0.26157407407407407,0.0125,0.0,0.0,0.0,0.6264367816091954,b
0.4874177313201703,0.03768115942028986,0.16435185185185186,0.013888888888888888,0.0,0.0,0.0,0.6149425287356322,b
0.4502516453735966,0.044386761842959116,0.27314814814814814,0.0175,0.0,0.0,0.0,0.6551724137931034,b
0.4874177313201703,0.033528012113346314,0.2569444444444444,0.013888888888888888,0.0,0.0,0.0,0.6149425287356322,b
0.16860240030971735,0.052303698896820246,0.2690972222222222,0.013888888888888888,0.0,0.0,0.0,0.3333333333333333,b
0.02013162988772745,0.04464633354964309,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,b
0.02013162988772745,0.04464633354964309,0.16666666666666666,0.0,0.0,0.0,0.0,0.1839080459770115,a
0.31765389082462253,0.021890547263681594,0.25,0.0125,0.0,0.0,0.0,0.5977011494252874,a
0.32849399922570655,0.03145143845987454,0.25462962962962965,0.0125,0.0,0.0,0.0,0.6091954022988506,a
